English	Term1	Term2	Term1_Audio	Term2_Audio	tags
"emergency exit<br><img src=""39963361_507.jpg"" width=""50%"" height=""50%"">"	der Notausgang, die Notausgänge		[sound:BAKU_B1_Notausgang_dwdownload.mp3]		wo-ist-der-aufzug
room, space	der Raum, die Räume		[sound:BAKU_A2_Raum_dwdownload.mp3]		wo-ist-der-aufzug
right	rechts		[sound:BAKU_A1_rechts_dwdownload.mp3]		wo-ist-der-aufzug
sign	das Schild, die Schilder		[sound:BAKU_A1_Schild_dwdownload.mp3]		wo-ist-der-aufzug
secretariat; registry; office	das Sekretariat, die Sekretariate		[sound:BAKU_A1_Sekretariat_dwdownload.mp3]		wo-ist-der-aufzug
to take place; occur	statt|finden <br><small><i>findet statt, fand statt, hat stattgefunden</i></small>		[sound:BAKU_A1_stattfinden_dwdownload.mp3]		wo-ist-der-aufzug
"stairs; steps; staircase<br><img src=""40101800_507.jpg"" width=""50%"" height=""50%"">"	die Treppe, die Treppen		[sound:BAKU_A1_Treppe_dwdownload.mp3]		wo-ist-der-aufzug
"door<br><img src=""39938412_507.jpg"" width=""50%"" height=""50%"">"	die Tür, die Türen		[sound:BAKU_A1_Tuer_dwdownload.mp3]		wo-ist-der-aufzug
above; over	über		[sound:BAKU_A1_ueber_dwdownload.mp3]		wo-ist-der-aufzug
under; below	unter		[sound:BAKU_A1_unter_dwdownload.mp3]		wo-ist-der-aufzug
basement floor 	das Untergeschoss, die Untergeschosse		[sound:BAKU_A1_Untergeschoss_dwdownload.mp3]		wo-ist-der-aufzug
in front of	vor		[sound:BAKU_A1_vor_dwdownload.mp3]		wo-ist-der-aufzug
"wall<br><img src=""39936226_507.jpg"" width=""50%"" height=""50%"">"	die Wand, die Wände		[sound:BAKU_A1_Wand_dwdownload.mp3]		wo-ist-der-aufzug
We live on the second floor. (American English)/We live on the first floor. (British English)	Wir wohnen in der ersten Etage.		[sound:BAKU_A1_wir_wohnen_in_der_ersten_etage_dwdownload.mp3]		wo-ist-der-aufzug
Where can I find...?	Wo finde ich …?		[sound:BAKU_A1_wo_finde_ich_dwdownload.mp3]		wo-ist-der-aufzug
between	zwischen		[sound:BAKU_A1_zwischen_dwdownload.mp3]		wo-ist-der-aufzug
architect (male)	der Architekt, die Architekten		[sound:BAKU_B1_Architekt_dwdownload.mp3]		a1e9l4
architect (female)	die Architektin, die Architektinnen		[sound:BAKU_B1_Architektin_dwdownload.mp3]		a1e9l4
"designer (male)<br><img src=""39938556_507.jpg"" width=""50%"" height=""50%"">"	der Designer, die Designer		[sound:BAKU_A1_Designer_dwdownload.mp3]		a1e9l4
"designer (female)<br><img src=""39938550_507.jpg"" width=""50%"" height=""50%"">"	die Designerin, die Designerinnen		[sound:BAKU_A1_Designerin_dwdownload.mp3]		a1e9l4
"photographer (male)<br><img src=""39938512_507.jpg"" width=""50%"" height=""50%"">"	der Fotograf, die Fotografen		[sound:BAKU_A1_Fotograf_dwdownload.mp3]		a1e9l4
photographer (female)	die Fotografin, die Fotografinnen		[sound:BAKU_A1_Fotografin_dwdownload.mp3]		a1e9l4
to hate something/somebody	etwas/jemanden hassen <br><small><i>hasst, hasste, gehasst</i></small>		[sound:BAKU_A1_hassen_dwdownload.mp3]		a1e9l4
"trip<br><img src=""40244644_507.jpg"" width=""50%"" height=""50%"">"	die Reise, die Reisen		[sound:BAKU_A1_Reise_dwdownload.mp3]		a1e9l4
still; here: inactive	still <br><small><i>stiller, am stillsten</i></small>		[sound:BAKU_B1_still_dwdownload.mp3]		a1e9l4
away	weg		[sound:BAKU_A2_weg_dwdownload.mp3]		a1e9l4
to become something	etwas werden <br><small><i>wird, wurde, ist geworden</i></small>		[sound:BAKU_A2_werden_dwdownload.mp3]		a1e9l4
to want	wollen <br><small><i>will, wollte, hat gewollt</i></small>		[sound:BAKU_A1_wollen_dwdownload.mp3]		a1e9l4
at home	zu Hause		[sound:BAKU_A1_zu_Hause_dwdownload.mp3]		a1e9l4
"parkway; avenue; boulevard<br><img src=""39938949_507.jpg"" width=""50%"" height=""50%"">"	die Allee, die Alleen		[sound:BAKU_A1_allee_dwdownload.mp3]		wo-ist-der-bahnhof
"train station<br><img src=""39938977_507.jpg"" width=""50%"" height=""50%"">"	der Bahnhof, die Bahnhöfe		[sound:BAKU_A1_Bahnhof_dwdownload.mp3]		wo-ist-der-bahnhof
to keep; to maintain	etwas behalten <br><small><i>behält, behielt, hat behalten</i></small>		[sound:BAKU_B1_behalten_dwdownload.mp3]		wo-ist-der-bahnhof
here: at	bei		[sound:BAKU_A1_bei_dwdownload.mp3]		wo-ist-der-bahnhof
something	etwas		[sound:BAKU_A1_etwas_dwdownload.mp3]		wo-ist-der-bahnhof
"narrow street; alley<br><img src=""39939033_507.jpg"" width=""50%"" height=""50%"">"	die Gasse, die Gassen		[sound:BAKU_A1_gasse_dwdownload.mp3]		wo-ist-der-bahnhof
"pants; trousers<br><img src=""39391696_507.jpg"" width=""50%"" height=""50%"">"	die Hose, die Hosen		[sound:BAKU_A1_Hose_dwdownload.mp3]		wo-ist-der-bahnhof
"jacket<br><img src=""39460420_507.jpg"" width=""50%"" height=""50%"">"	die Jacke, die Jacken		[sound:BAKU_A1_Jacke_dwdownload.mp3]		wo-ist-der-bahnhof
"to buy something<br><img src=""40022994_507.jpg"" width=""50%"" height=""50%"">"	etwas kaufen <br><small><i>kauft, kaufte, hat gekauft</i></small>		[sound:BAKU_A1_kaufen_dwdownload.mp3]		wo-ist-der-bahnhof
"suitcase<br><img src=""39436629_507.jpg"" width=""50%"" height=""50%"">"	der Koffer, die Koffer		[sound:BAKU_A1_Koffer_dwdownload.mp3]		wo-ist-der-bahnhof
square	der Platz, die Plätze		[sound:BAKU_A1_Platz_dwdownload.mp3]		wo-ist-der-bahnhof
"post office<br><img src=""43129337_507.jpg"" width=""50%"" height=""50%"">"	die Post <br><small><i>nur Singular</i></small>		[sound:BAKU_A2_Post_dwdownload.mp3]		wo-ist-der-bahnhof
to give someone something (a present)	jemandem etwas schenken <br><small><i>schenkt, schenkte, hat geschenkt</i></small>		[sound:BAKU_A2_schenken_dwdownload.mp3]		wo-ist-der-bahnhof
"city map<br><img src=""39939157_507.jpg"" width=""50%"" height=""50%"">"	der Stadtplan, die Stadtpläne		[sound:BAKU_A2_Stadtplan_dwdownload.mp3]		wo-ist-der-bahnhof
"gas station<br><img src=""39938844_507.jpg"" width=""50%"" height=""50%"">"	die Tankstelle, die Tankstellen 		[sound:BAKU_A1_Tankstelle_dwdownload.mp3]		wo-ist-der-bahnhof
"path<br><img src=""39938886_507.jpg"" width=""50%"" height=""50%"">"	der Weg, die Wege		[sound:BAKU_A2_Weg_der_dwdownload.mp3]		wo-ist-der-bahnhof
to give something back; to return something	etwas zurück|geben <br><small><i>gibt zurück, gab zurück, hat zurückgegeben</i></small>		[sound:BAKU_zurueckgeben_dwdownload.mp3]		wo-ist-der-bahnhof
"traffic light<br><img src=""39938935_507.jpg"" width=""50%"" height=""50%"">"	die Ampel, die Ampeln		[sound:BAKU_A1_Ampel_dwdownload.mp3]		an-der-ampel-links
on the left side; on the left-hand side	auf der linken Seite		[sound:BAKU_A1_auf_der_linken_seite_dwdownload.mp3]		an-der-ampel-links
on the right side	auf der rechten Seite		[sound:BAKU_A1_auf_der_rechten_seite_dwdownload.mp3]		an-der-ampel-links
"highway; expressway<br><img src=""40054094_507.jpg"" width=""50%"" height=""50%"">"	die Autobahn, die Autobahnen		[sound:BAKU_A1_Autobahn_dwdownload.mp3]		an-der-ampel-links
(up) to	bis zu		[sound:BAKU_A1_bis_zu_dwdownload.mp3]		an-der-ampel-links
"bridge<br><img src=""39939047_507.jpg"" width=""50%"" height=""50%"">"	die Brücke, die Brücken		[sound:BAKU_A1_Bruecke_dwdownload.mp3]		an-der-ampel-links
(to) there (implies motion towards)	dorthin		[sound:BAKU_A2_dorthin_dwdownload.mp3]		an-der-ampel-links
through	durch		[sound:BAKU_A1_durch-b_dwdownload.mp3]		an-der-ampel-links
corner	die Ecke, die Ecken		[sound:BAKU_A1_Ecke_dwdownload.mp3]		an-der-ampel-links
end; ending	das Ende, die Enden		[sound:BAKU_A2_Ende_dwdownload.mp3]		an-der-ampel-links
to walk down; to walk along	entlang|gehen <br><small><i>geht entlang, ging entlang, ist entlanggegangen</i></small>		[sound:BAKU_A1_entlanggehen_dwdownload.mp3]		an-der-ampel-links
to find something/somebody	etwas/jemanden finden <br><small><i>findet, fand, hat gefunden</i></small>		[sound:BAKU_A1_finden_dwdownload.mp3]		an-der-ampel-links
"river<br><img src=""40244183_507.jpg"" width=""50%"" height=""50%"">"	der Fluss, die Flüsse		[sound:BAKU_A1_Fluss_dwdownload.mp3]		an-der-ampel-links
"pedestrian zone<br><img src=""39939019_507.jpg"" width=""50%"" height=""50%"">"	die Fußgängerzone, die Fußgängerzonen		[sound:BAKU_A1_Fussgaengerzone_dwdownload.mp3]		an-der-ampel-links
straight ahead	geradeaus		[sound:BAKU_A1_geradeaus_dwdownload.mp3]		an-der-ampel-links
 stop; station	die Haltestelle, die Haltestellen		[sound:BAKU_A1_Haltestelle_dwdownload.mp3]		an-der-ampel-links
"church<br><img src=""40098210_507.jpg"" width=""50%"" height=""50%"">"	die Kirche, die Kirchen		[sound:BAKU_A1_Kirche_dwdownload.mp3]		an-der-ampel-links
"intersection<br><img src=""39939101_507.jpg"" width=""50%"" height=""50%"">"	die Kreuzung, die Kreuzungen		[sound:BAKU_A1_Kreuzung_dwdownload.mp3]		an-der-ampel-links
"shop<br><img src=""42754732_507.jpg"" width=""50%"" height=""50%"">"	der Laden, die Läden		[sound:BAKU_A2_Laden_dwdownload.mp3]		an-der-ampel-links
close; nearby	nah <br><small><i>näher, am nächsten</i></small>		[sound:BAKU_B1_nah_dwdownload.mp3]		an-der-ampel-links
"park<br><img src=""40099243_507.jpg"" width=""50%"" height=""50%"">"	der Park, die Parks		[sound:BAKU_A1_Park_dwdownload.mp3]		an-der-ampel-links
"to park<br><img src=""43809375_507.jpg"" width=""50%"" height=""50%"">"	parken <br><small><i>parkt, parkte, hat geparkt</i></small>		[sound:BAKU_A2_parken_dwdownload.mp3]		an-der-ampel-links
parking garage	das Parkhaus, die Parkhäuser		[sound:BAKU_das_Parkhaus_dwdownload.mp3]		an-der-ampel-links
"parking spot<br><img src=""39939171_507.jpg"" width=""50%"" height=""50%"">"	der Parkplatz, die Parkplätze		[sound:BAKU_A2_Parkplatz_dwdownload.mp3]		an-der-ampel-links
city hall	das Rathaus, die Rathäuser		[sound:BAKU_B1_Rathaus_dwdownload.mp3]		an-der-ampel-links
to turn left/right on to a street	rechts/links in eine Straße biegen <br><small><i>biegt, bog, hat gebogen</i></small>		[sound:BAKU_rechts_links_in_eine_Strasse_biegen_dwdownload.mp3]		an-der-ampel-links
to cross	überqueren <br><small><i>überquert, überquerte, hat überquert</i></small>		[sound:BAKU_B1_ueberqueren_dwdownload.mp3]		an-der-ampel-links
to pass (by)	vorbei|gehen <br><small><i>geht vorbei, ging vorbei, ist vorbeigegangen</i></small>		[sound:BAKU_A1_vorbeigehen_dwdownload.mp3]		an-der-ampel-links
far; long	weit <br><small><i>weiter, am weitesten</i></small>		[sound:BAKU_A1_weit_dwdownload.mp3]		an-der-ampel-links
on; at	zu		[sound:BAKU_A1_zu_dwdownload.mp3]		an-der-ampel-links
to go by foot	zu Fuß gehen <br><small><i>geht, ging, ist gegangen</i></small>		[sound:BAKU_A1_zu_fuss_gehen_dwdownload.mp3]		an-der-ampel-links
to arrive	an|kommen <br><small><i>kommt an, kam an, ist angekommen</i></small>		[sound:BAKU_A1_ankommen_dwdownload.mp3]		mit-bus-und-bahn
"bus line; bus route<br><img src=""43803342_507.jpg"" width=""50%"" height=""50%"">"	die Buslinie, die Buslinien		[sound:BAKU_B1_Buslinie_dwdownload.mp3]		mit-bus-und-bahn
to last	dauern <br><small><i>dauert, dauerte, hat gedauert</i></small>		[sound:BAKU_A2_dauern_dwdownload.mp3]		mit-bus-und-bahn
driver (male)	der Fahrer, die Fahrer		[sound:BAKU_der_Fahrer_dwdownload.mp3]		mit-bus-und-bahn
driver (female)	die Fahrerin, die Fahrerinnen		[sound:BAKU_A1_Fahrerin_dwdownload.mp3]		mit-bus-und-bahn
"ticket<br><img src=""39939005_507.jpg"" width=""50%"" height=""50%"">"	die Fahrkarte, die Fahrkarten		[sound:BAKU_A2_Fahrkarte_dwdownload.mp3]		mit-bus-und-bahn
timetable; schedule	der Fahrplan, die Fahrpläne		[sound:BAKU_A2_Fahrplan_dwdownload.mp3]		mit-bus-und-bahn
journey	die Fahrt, die Fahrten		[sound:BAKU_A1_Fahrt_dwdownload.mp3]		mit-bus-und-bahn
there and back; to and from (often used to imply roundtrip travel)	hin und zurück		[sound:BAKU_hin_und_zurueck_dwdownload.mp3]		mit-bus-und-bahn
hopefully	hoffentlich		[sound:BAKU_B1_hoffentlich_dwdownload.mp3]		mit-bus-und-bahn
line	die Linie, die Linien		[sound:BAKU_A1_Linie_dwdownload.mp3]		mit-bus-und-bahn
by	mit		[sound:BAKU_A1_mit_dwdownload.mp3]		mit-bus-und-bahn
"motorcycle<br><img src=""39939061_507.jpg"" width=""50%"" height=""50%"">"	das Motorrad, die Motorräder		[sound:BAKU_A1_Motorrad_dwdownload.mp3]		mit-bus-und-bahn
rest; here: rest of the way	der Rest, die Reste		[sound:BAKU_A1_Rest_dwdownload.mp3]		mit-bus-und-bahn
direction	die Richtung, die Richtungen		[sound:BAKU_A1_Richtung_dwdownload.mp3]		mit-bus-und-bahn
"tram<br><img src=""40101634_507.jpg"" width=""50%"" height=""50%"">"	die Straßenbahn, die Straßenbahnen		[sound:BAKU_A1_Strassenbahn_dwdownload.mp3]		mit-bus-und-bahn
"subway; underground<br><img src=""39938872_507.jpg"" width=""50%"" height=""50%"">"	die U-Bahn, die U-Bahnen		[sound:BAKU_A1_UBahn_dwdownload.mp3]		mit-bus-und-bahn
to change (trains, buses etc.)	um|steigen <br><small><i>steigt um, stieg um, ist umgestiegen</i></small>		[sound:BAKU_A2_umsteigen_dwdownload.mp3]		mit-bus-und-bahn
how long	wie lange		[sound:BAKU_wie_lange_dwdownload.mp3]		mit-bus-und-bahn
"computer screen; monitor<br><img src=""39938963_507.jpg"" width=""50%"" height=""50%"">"	der Bildschirm, die Bildschirme		[sound:BAKU_B1_Bildschirm_dwdownload.mp3]		im-büro
"letter<br><img src=""40093022_507.jpg"" width=""50%"" height=""50%"">"	der Brief, die Briefe		[sound:BAKU_A1_Brief_dwdownload.mp3]		im-büro
That cannot be.	Das kann nicht sein.		[sound:BAKU_A1_das_kann_nicht_sein_dwdownload.mp3]		im-büro
"printer<br><img src=""40021071_507.jpg"" width=""50%"" height=""50%"">"	der Drucker, die Drucker		[sound:BAKU_A1_Drucker_dwdownload.mp3]		im-büro
finally; at last	endlich		[sound:BAKU_A2_endlich_dwdownload.mp3]		im-büro
loose-leaf binder	der Hefter, die Hefter		[sound:BAKU_A1_Hefter_dwdownload.mp3]		im-büro
I have to go.	Ich muss los.		[sound:BAKU_A2_ich_muss_los_dwdownload.mp3]		im-büro
Dear ... (here: form of address)	Lieber/Liebe … <br><small><i>Anrede in Briefen oder E-Mails</i></small>		[sound:BAKU_Lieber_dwdownload.mp3]		im-büro
to lie, to be in a horizontal position	liegen <br><small><i>liegt, lag, hat gelegen</i></small>		[sound:BAKU_A1_liegen_dwdownload.mp3]		im-büro
hole	das Loch, die Löcher		[sound:BAKU_B1_Loch_dwdownload.mp3]		im-büro
"hole punch<br><img src=""39939087_507.jpg"" width=""50%"" height=""50%"">"	der Locher, die Locher		[sound:BAKU_A1_Locher_dwdownload.mp3]		im-büro
"mouse<br><img src=""39939115_507.jpg"" width=""50%"" height=""50%"">"	die Maus, die Mäuse		[sound:BAKU_A1_Maus_dwdownload.mp3]		im-büro
"post-it note<br><img src=""39939143_507.jpg"" width=""50%"" height=""50%"">"	das Post-It, die Post-Its		[sound:BAKU_A1_post_it_dwdownload.mp3]		im-büro
Have a good rest of the day!	Schönen Tag noch! <br><small><i>umgangssprachlich</i></small>		[sound:A1_E10_L4_S15_A4_Loesungsaudio_dwdownload.mp3]		im-büro
awful	schrecklich <br><small><i>schrecklicher, am schrecklichsten</i></small>		[sound:BAKU_A2_schrecklich_dwdownload.mp3]		im-büro
"stamp<br><img src=""39939185_507.jpg"" width=""50%"" height=""50%"">"	der Stempel, die Stempel		[sound:BAKU_B1_Stempel_dwdownload.mp3]		im-büro
"stapler<br><img src=""39938814_507.jpg"" width=""50%"" height=""50%"">"	der Tacker, die Tacker		[sound:BAKU_A1_Tacker_dwdownload.mp3]		im-büro
"keyboard<br><img src=""39938830_507.jpg"" width=""50%"" height=""50%"">"	die Tastatur, die Tastaturen		[sound:BAKU_A1_Tastatur_dwdownload.mp3]		im-büro
"tourist information<br><img src=""39938858_507.jpg"" width=""50%"" height=""50%"">"	die Touristeninformation, die Touristeninformationen		[sound:BAKU_A1_Touristeninformation_dwdownload.mp3]		im-büro
traffic	der Verkehr <br><small><i>nur Singular</i></small>		[sound:BAKU_A2_Verkehr_dwdownload.mp3]		im-büro
"banana<br><img src=""39388789_507.jpg"" width=""50%"" height=""50%"">"	die Banane, die Bananen		[sound:BAKU_A1_Banane_dwdownload.mp3]		lebensmittel
side dish	die Beilage, die Beilagen		[sound:BAKU_A2_beilage_dwdownload.mp3]		lebensmittel
popular	beliebt <br><small><i>beliebter, am beliebtesten</i></small>		[sound:BAKU_A1_beliebt_dwdownload.mp3]		lebensmittel
visit	der Besuch, die Besuche		[sound:BAKU_A1_Besuch_dwdownload.mp3]		lebensmittel
"pear<br><img src=""39940636_507.jpg"" width=""50%"" height=""50%"">"	die Birne, die Birnen		[sound:BAKU_A1_Birne_dwdownload.mp3]		lebensmittel
broccoli 	der Brokkoli, die Brokkolis <br><small><i>Plural selten</i></small>		[sound:BAKU_Brokoli_dwdownload.mp3]		lebensmittel
"bread<br><img src=""39389490_507.jpg"" width=""50%"" height=""50%"">"	das Brot, die Brote		[sound:BAKU_A1_Brot_dwdownload.mp3]		lebensmittel
"bread roll<br><img src=""40022720_507.jpg"" width=""50%"" height=""50%"">"	das Brötchen, die Brötchen		[sound:BAKU_A1_Broetchen_dwdownload.mp3]		lebensmittel
"butter<br><img src=""40022748_507.jpg"" width=""50%"" height=""50%"">"	die Butter <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Butter_dwdownload.mp3]		lebensmittel
along with it	dazu		[sound:BAKU_A1_dazu_dwdownload.mp3]		lebensmittel
"meat<br><img src=""39940664_507.jpg"" width=""50%"" height=""50%"">"	das Fleisch <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Fleisch_dwdownload.mp3]		lebensmittel
"cucumber<br><img src=""40024627_507.jpg"" width=""50%"" height=""50%"">"	die Gurke, die Gurken		[sound:BAKU_A1_Gurke_dwdownload.mp3]		lebensmittel
raspberry	die Himbeere, die Himbeeren		[sound:BAKU_die_Himbeere_dwdownload.mp3]		lebensmittel
"yoghurt<br><img src=""40057421_507.jpg"" width=""50%"" height=""50%"">"	der Joghurt, die Joghurts		[sound:BAKU_A1_Joghurt_dwdownload.mp3]		lebensmittel
"cocoa<br><img src=""40058054_507.jpg"" width=""50%"" height=""50%"">"	der Kakao, die Kakaos <br><small><i>Plural selten</i></small>		[sound:BAKU_A1_Kakao_dwdownload.mp3]		lebensmittel
"carrot<br><img src=""39940415_507.jpg"" width=""50%"" height=""50%"">"	die Karotte, die Karotten		[sound:BAKU_B1_Karotte_dwdownload.mp3]		lebensmittel
potato	die Kartoffel, die Kartoffeln		[sound:BAKU_A1_Kartoffel_dwdownload.mp3]		lebensmittel
favorite (prefix in compound words i.e. favorite food, favorite color etc.)	Lieblings-		[sound:BAKU_Lieblings_dwdownload.mp3]		lebensmittel
marmelade; jam	die Marmelade, die Marmeladen		[sound:BAKU_A1_Marmelade_dwdownload.mp3]		lebensmittel
"garbage; trash<br><img src=""40099162_507.jpg"" width=""50%"" height=""50%"">"	der Müll <br><small><i>nur Singular</i></small>		[sound:BAKU_A2_Muell_dwdownload.mp3]		lebensmittel
"noodles; pasta<br><img src=""39940443_507.jpg"" width=""50%"" height=""50%"">"	die Nudel, die Nudeln <br><small><i>meist im Plural</i></small>		[sound:BAKU_A1_Nudel_dwdownload.mp3]		lebensmittel
above; up; on top	oben		[sound:BAKU_A1_oben_dwdownload.mp3]		lebensmittel
"fruit<br><img src=""40023095_507.jpg"" width=""50%"" height=""50%"">"	das Obst <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Obst_dwdownload.mp3]		lebensmittel
to open (something)	(etwas) öffnen <br><small><i>öffnet, öffnete, hat geöffnet</i></small>		[sound:BAKU_A1_oeffnen_dwdownload.mp3]		lebensmittel
"orange<br><img src=""39940470_507.jpg"" width=""50%"" height=""50%"">"	die Orange, die Orangen<br><br>	orange	[sound:BAKU_A1_Orange_01_dwdownload.mp3]	[sound:BAKU_A1_orange_02_dwdownload.mp3]	lebensmittel
"curd <br><img src=""39940488_507.jpg"" width=""50%"" height=""50%"">"	der Quark <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_quark_dwdownload.mp3]		lebensmittel
"rice<br><img src=""39940518_507.jpg"" width=""50%"" height=""50%"">"	der Reis <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Reis_dwdownload.mp3]		lebensmittel
steak	das Steak, die Steaks		[sound:BAKU_A2_Steak_dwdownload.mp3]		lebensmittel
"sausage<br><img src=""40022691_507.jpg"" width=""50%"" height=""50%"">"	die Wurst, die Würste		[sound:BAKU_A1_Wurst_dwdownload.mp3]		lebensmittel
"lemon<br><img src=""39439954_507.jpg"" width=""50%"" height=""50%"">"	die Zitrone, die Zitronen		[sound:BAKU_A2_Zitrone_dwdownload.mp3]		lebensmittel
"alcohol<br><img src=""40056746_507.jpg"" width=""50%"" height=""50%"">"	der Alkohol <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Alkohol_dwdownload.mp3]		ich-mag-nicht
everything	alles		[sound:BAKU_A1_alles_dwdownload.mp3]		ich-mag-nicht
than	als		[sound:BAKU_A1_als_dwdownload.mp3]		ich-mag-nicht
so; therefore	also		[sound:BAKU_A1_also_dwdownload.mp3]		ich-mag-nicht
best; preferably	am liebsten		[sound:BAKU_A1_am_liebsten_dwdownload.mp3]		ich-mag-nicht
"apple spritzer<br><img src=""39940706_507.jpg"" width=""50%"" height=""50%"">"	die Apfelsaftschorle, die Apfelsaftschorlen <br><small><i>Kurzform: die Apfelschorle, die Apfelschorlen</i></small>		[sound:BAKU_A1_Apfelsaftschorle_dwdownload.mp3]		ich-mag-nicht
almost	fast		[sound:BAKU_A1_fast_dwdownload.mp3]		ich-mag-nicht
"meal; dish<br><img src=""40094253_507.jpg"" width=""50%"" height=""50%"">"	das Gericht, die Gerichte		[sound:BAKU_A2_Gericht_dwdownload.mp3]		ich-mag-nicht
healthy	gesund <br><small><i>gesünder, am gesündesten (alternativ: gesunder, am gesundesten)</i></small>		[sound:BAKU_A1_gesund_dwdownload.mp3]		ich-mag-nicht
"kohlrabi; turnip cabbage<br><img src=""39940429_507.jpg"" width=""50%"" height=""50%"">"	der Kohlrabi, die Kohlrabis		[sound:BAKU_A1_kohlrabi_dwdownload.mp3]		ich-mag-nicht
menu; set menu	das Menü, die Menüs		[sound:BAKU_B1_Menue_dwdownload.mp3]		ich-mag-nicht
"mineral water<br><img src=""40244385_507.jpg"" width=""50%"" height=""50%"">"	das Mineralwasser, die Mineralwässer (nach Zahl: Mineralwasser)		[sound:BAKU_A1_Mineralwasser_dwdownload.mp3]		ich-mag-nicht
pancake	der Pfannkuchen, die Pfannkuchen		[sound:BAKU_der_Pfannkuchen_dwdownload.mp3]		ich-mag-nicht
per	pro		[sound:BAKU_A1_pro_dwdownload.mp3]		ich-mag-nicht
thing; item	die Sache, die Sachen		[sound:BAKU_A1_Sache_dwdownload.mp3]		ich-mag-nicht
to taste 	(jemandem) schmecken <br><small><i>schmeckt, schmeckte, hat geschmeckt</i></small>		[sound:BAKU_A1_schmecken_dwdownload.mp3]		ich-mag-nicht
"cup<br><img src=""40101781_507.jpg"" width=""50%"" height=""50%"">"	die Tasse, die Tassen		[sound:BAKU_A2_Tassen_dwdownload.mp3]		ich-mag-nicht
vegetarian	vegetarisch		[sound:BAKU_A1_vegetarisch_dwdownload.mp3]		ich-mag-nicht
to come back; to return	wieder|kommen <br><small><i>kommt wieder, kam wieder, ist wiedergekommen</i></small>		[sound:BAKU_wiederkommen_dwdownload.mp3]		ich-mag-nicht
"to dry something (off) <br><img src=""39940720_507.jpg"" width=""50%"" height=""50%"">"	etwas ab|trocknen <br><small><i>trocknet ab, trocknete ab, hat abgetrocknet</i></small>		[sound:BAKU_A2_abtrocknen_dwdownload.mp3]		haushaltsarbeit
"to wash<br><img src=""39940678_507.jpg"" width=""50%"" height=""50%"">"	spülen <br><small><i>spült, spülte, hat gespült</i></small><br><br>	etwas ab|waschen <br><small><i>wäscht ab, wusch ab, hat abgewaschen</i></small>	[sound:BAKU_A2_spuelen_dwdownload.mp3]	[sound:BAKU_B1_abwaschen_dwdownload.mp3]	haushaltsarbeit
"to hang up something<br><img src=""39940650_507.jpg"" width=""50%"" height=""50%"">"	etwas auf|hängen <br><small><i>hängt auf, hängte auf, hat aufgehängt</i></small>		[sound:BAKU_A2_aufhaengen_dwdownload.mp3]		haushaltsarbeit
to empty	etwas aus|räumen <br><small><i>räumt aus, räumte aus, hat ausgeräumt</i></small>		[sound:BAKU_A1_ausraeumen_dwdownload.mp3]		haushaltsarbeit
"baby<br><img src=""40093272_507.jpg"" width=""50%"" height=""50%"">"	das Baby, die Babys		[sound:BAKU_A1_Baby_dwdownload.mp3]		haushaltsarbeit
"broom<br><img src=""39940622_507.jpg"" width=""50%"" height=""50%"">"	der Besen, die Besen		[sound:BAKU_A1_besen_dwdownload.mp3]		haushaltsarbeit
"to put something away; to load (a dishwasher)<br><img src=""43362434_507.jpg"" width=""50%"" height=""50%"">"	etwas ein|räumen <br><small><i>räumt ein, räumte ein, hat eingeräumt</i></small>		[sound:BAKU_A2_einraeumen_dwdownload.mp3]		haushaltsarbeit
just as	genauso		[sound:BAKU_A1_genauso_dwdownload.mp3]		haushaltsarbeit
"crockery; dishes<br><img src=""39940608_507.jpg"" width=""50%"" height=""50%"">"	das Geschirr <br><small><i>nur Singular</i></small>		[sound:BAKU_A2_Geschirr_dwdownload.mp3]		haushaltsarbeit
"glass<br><img src=""39940374_507.jpg"" width=""50%"" height=""50%"">"	das Glas, die Gläser		[sound:BAKU_A1_Glas_dwdownload.mp3]		haushaltsarbeit
just as; (the) same; equally	gleich		[sound:BAKU_A1_gleich_dwdownload.mp3]		haushaltsarbeit
often; frequently	häufig <br><small><i>häufiger, am häufigsten</i></small>		[sound:BAKU_A2_haeufig_dwdownload.mp3]		haushaltsarbeit
housework	die Hausarbeit, die Hausarbeiten		[sound:BAKU_A2_Hausarbeit_dwdownload.mp3]		haushaltsarbeit
housewife; stay-at-home mom	die Hausfrau, die Hausfrauen		[sound:BAKU_A1_Hausfrau_dwdownload.mp3]		haushaltsarbeit
household; home	der Haushalt, die Haushalte		[sound:BAKU_A1_Haushalt_dwdownload.mp3]		haushaltsarbeit
househusband; stay-at-home dad	der Hausmann, die Hausmänner		[sound:BAKU_A1_Hausmann_dwdownload.mp3]		haushaltsarbeit
fine; alright; OK	in Ordnung		[sound:BAKU_B1_in_ordnung_dwdownload.mp3]		haushaltsarbeit
"to sweep<br><img src=""39940401_507.jpg"" width=""50%"" height=""50%"">"	kehren <br><small><i>kehrt, kehrte, hat gekehrt</i></small>		[sound:BAKU_A1_kehren_dwdownload.mp3]		haushaltsarbeit
